variant,size,n_operations,SMV_min,SMV_tmu
CLASSIC,S,27,12.368107683307283,20613.513217782394
CLASSIC,M,27,12.57272025755471,20954.534181681858
CLASSIC,L,27,12.860383407373812,21433.972774302467
CLASSIC,XL,27,13.084165092946465,21806.942257716277
CLASSIC,XXL,27,13.427992193244378,22379.98743634037
SHORT_SLEEVE,S,22,9.885305510118965,16475.50951304179
SHORT_SLEEVE,M,22,10.054786745631342,16757.978244545127
SHORT_SLEEVE,L,22,10.317043233039223,17195.072398966815
SHORT_SLEEVE,XL,22,10.503909860798384,17506.5167847943
SHORT_SLEEVE,XXL,22,10.79378335090035,17989.63927796003
BLOUSE_COLLARLESS,S,21,9.131779955593275,15219.633563714791
BLOUSE_COLLARLESS,M,21,9.263950526683923,15439.917853271556
BLOUSE_COLLARLESS,L,21,9.479171673346245,15798.619771549465
BLOUSE_COLLARLESS,XL,21,9.630511355762119,16050.852580620576
BLOUSE_COLLARLESS,XXL,21,9.836436949746473,16394.061910792017
